reg,cl_age90,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
32,89,2021-04-06,935,37,587.0,311.0,0.0,6582,2973
32,19,2021-06-20,3,0,1.0,2.0,0.0,324,2
94,69,2020-12-31,3,2,,,,87,12
76,0,2020-12-24,1228,187,,,,9933,2035
84,79,2021-04-21,996,209,574.0,202.0,11.0,9525,2341
93,0,2020-12-03,2523,373,,,,16136,2875
27,49,2021-04-26,57,10,39.0,2.0,6.0,1078,22
76,59,2020-12-17,63,20,,,,1233,41
76,49,2021-03-31,66,17,41.0,8.0,0.0,1118,22
4,0,2020-03-18,2,2,,,,0,0
52,9,2021-03-01,0,0,,,,48,0
76,49,2021-07-31,59,22,26.0,11.0,0.0,1700,31
27,29,2020-12-30,18,3,,,,243,2
53,9,2021-05-09,2,0,2.0,0.0,0.0,60,0
76,90,2021-05-22,114,0,51.0,63.0,0.0,2064,1175
32,9,2021-01-30,4,0,,,,190,0
32,69,2021-03-17,596,170,320.0,103.0,3.0,4512,762
3,49,2020-03-27,0,0,,,,0,0
3,69,2021-03-25,6,4,2.0,0.0,0.0,256,23
93,29,2021-04-17,25,6,12.0,5.0,2.0,1166,6
3,39,2021-01-19,12,0,,,,427,1
94,0,2021-05-10,56,10,18.0,25.0,3.0,908,200
93,0,2021-05-06,2617,461,1139.0,990.0,27.0,37364,7638
27,89,2021-01-26,615,18,,,,3073,1372
4,69,2021-05-10,35,7,24.0,4.0,0.0,326,40
11,39,2021-07-26,79,16,47.0,10.0,6.0,7047,111
6,39,2021-04-26,5,2,3.0,0.0,0.0,181,1
75,9,2021-04-05,4,1,3.0,0.0,0.0,82,0
53,29,2021-06-13,5,1,3.0,0.0,1.0,239,0
93,90,2021-02-19,506,6,,,,2448,1352
1,89,2021-03-31,12,0,11.0,1.0,0.0,109,49
94,29,2021-03-27,0,0,0.0,0.0,0.0,21,0
4,79,2021-06-30,28,7,15.0,6.0,0.0,296,65
94,0,2021-07-03,25,2,1.0,17.0,5.0,955,206
24,90,2021-06-01,54,0,7.0,47.0,0.0,1277,726
11,89,2021-06-24,420,14,107.0,294.0,5.0,16660,6882
28,19,2021-01-24,2,0,,,,36,0
24,39,2020-12-27,7,0,,,,229,2
2,39,2021-06-27,3,2,1.0,0.0,0.0,53,4
84,79,2021-04-22,975,202,551.0,211.0,11.0,9578,2348
1,49,2021-04-16,7,1,5.0,1.0,0.0,122,7
2,59,2020-12-11,5,0,,,,78,3
3,39,2021-04-21,5,1,3.0,0.0,1.0,472,1
32,29,2021-04-17,23,5,15.0,2.0,1.0,863,3
76,69,2021-07-30,122,28,60.0,32.0,2.0,3909,439
27,9,2021-05-20,1,0,1.0,0.0,0.0,79,0
93,19,2021-06-30,2,1,1.0,0.0,0.0,413,0
93,29,2020-12-13,10,1,,,,735,2
24,39,2021-02-05,7,0,,,,280,2
6,59,2021-06-14,1,0,1.0,0.0,0.0,208,16
93,49,2021-07-30,64,12,34.0,14.0,4.0,3218,57
4,9,2021-07-26,1,0,1.0,0.0,0.0,31,0
2,79,2021-04-05,26,8,17.0,1.0,0.0,88,14
28,79,2021-05-06,319,60,159.0,100.0,0.0,2677,668
2,90,2021-02-02,0,0,,,,7,5
52,19,2020-12-27,1,1,,,,44,0
1,79,2021-01-27,14,2,,,,140,56
53,79,2021-01-20,143,17,,,,765,152
52,0,2020-12-25,898,71,,,,5926,1279
24,39,2021-01-05,10,1,,,,237,2
94,49,2020-12-03,3,2,,,,39,1
11,89,2021-05-24,1048,37,366.0,640.0,5.0,15885,6772
11,90,2021-02-04,785,7,,,,5158,2781
32,19,2021-01-19,4,0,,,,167,1
4,69,2021-06-24,31,12,15.0,4.0,0.0,408,49
2,89,2021-02-02,3,0,,,,45,12
53,39,2021-03-16,9,0,7.0,0.0,2.0,231,2
76,69,2020-12-22,192,64,,,,1702,181
53,0,2021-06-15,389,38,171.0,142.0,38.0,7891,1643
53,79,2021-04-09,189,43,88.0,49.0,9.0,1195,258
52,19,2021-08-03,2,0,1.0,1.0,0.0,106,0
93,0,2021-07-06,773,111,166.0,479.0,17.0,40647,8057
32,59,2021-01-25,179,39,,,,2542,173
27,39,2021-02-19,20,3,,,,459,8
93,39,2021-07-06,10,1,4.0,4.0,1.0,2154,14
76,69,2021-03-10,234,77,,,,2545,307
28,29,2021-06-30,8,1,7.0,0.0,0.0,329,2
3,59,2021-07-05,17,5,11.0,1.0,0.0,365,26
27,29,2020-03-21,3,1,,,,10,0
4,9,2021-01-27,0,0,,,,21,0
1,49,2021-03-12,2,1,,,,107,7
1,19,2021-05-03,0,0,0.0,0.0,0.0,12,0
52,9,2020-12-05,1,0,,,,36,0
53,59,2021-01-28,38,8,,,,462,16
93,49,2020-12-19,49,12,,,,1377,19
1,39,2021-07-17,2,0,1.0,1.0,0.0,107,3
75,59,2021-02-13,100,24,,,,1216,64
76,19,2021-06-29,4,0,4.0,0.0,0.0,191,0
32,49,2021-03-16,144,55,80.0,9.0,0.0,1826,42
94,0,2021-03-16,111,15,40.0,56.0,0.0,664,156
27,9,2021-01-04,0,0,,,,52,0
3,89,2020-03-23,0,0,,,,0,0
84,0,2021-04-26,3658,681,2181.0,750.0,46.0,45647,10841
4,29,2021-04-22,0,0,0.0,0.0,0.0,103,1
93,19,2021-05-25,8,1,6.0,0.0,1.0,384,0
32,39,2021-01-21,26,7,,,,932,11
52,79,2020-12-11,177,34,,,,1051,211
6,39,2020-12-10,1,0,,,,72,0
4,69,2021-06-10,40,9,29.0,2.0,0.0,383,48
11,59,2021-03-29,987,306,558.0,105.0,18.0,11335,899
24,69,2021-02-13,137,33,,,,1210,150
6,0,2021-02-14,152,25,,,,697,60
44,89,2020-12-09,888,26,,,,4214,2117
2,90,2021-06-05,1,0,1.0,0.0,0.0,16,10
11,19,2021-06-05,23,3,15.0,1.0,4.0,984,4
94,39,2021-05-12,3,0,1.0,2.0,0.0,50,1
24,89,2021-07-14,39,0,11.0,28.0,0.0,2856,1112
84,69,2021-03-01,518,125,,,,5776,743
6,0,2021-03-14,83,25,55.0,0.0,3.0,1104,101
32,39,2021-07-27,23,6,12.0,4.0,1.0,1819,27
3,59,2020-12-31,5,2,,,,197,11
93,9,2021-04-23,5,0,4.0,1.0,0.0,265,0
2,39,2021-05-06,6,2,4.0,0.0,0.0,47,3
32,89,2021-04-09,935,33,588.0,314.0,0.0,6735,3024
76,69,2021-01-14,197,62,,,,1873,211
4,49,2021-03-28,27,10,10.0,7.0,0.0,148,5
75,49,2021-06-08,29,8,17.0,4.0,0.0,1184,27
76,49,2021-06-22,24,3,11.0,10.0,0.0,1605,31
6,39,2021-01-08,1,0,,,,78,0
28,29,2020-12-19,6,1,,,,142,0
75,69,2021-02-08,214,68,,,,1617,172
28,69,2021-03-24,264,61,128.0,75.0,0.0,1727,293
6,59,2021-06-26,1,0,1.0,0.0,0.0,208,16
11,29,2021-05-21,102,21,62.0,9.0,10.0,3499,35
32,79,2020-12-19,588,85,,,,3382,911
11,89,2021-01-17,1446,59,,,,10141,4338
27,59,2021-01-07,105,25,,,,1055,56
3,69,2021-05-23,27,9,12.0,6.0,0.0,313,27
75,90,2021-05-09,180,2,117.0,61.0,0.0,1819,981
44,59,2021-04-27,317,91,187.0,28.0,11.0,4283,292
93,9,2021-01-11,4,0,,,,171,0
76,0,2020-12-09,1462,223,,,,9042,1851
6,59,2020-12-04,4,0,,,,80,5
84,89,2020-12-22,1401,38,,,,6364,2709
3,49,2021-04-09,3,0,2.0,1.0,0.0,321,4
44,90,2021-01-30,448,1,,,,2339,1505
44,89,2021-05-29,298,12,155.0,129.0,2.0,8536,4058
4,39,2021-06-19,4,1,2.0,1.0,0.0,195,4
52,79,2021-05-27,123,22,59.0,40.0,2.0,2460,500
53,0,2021-06-05,453,51,203.0,156.0,43.0,7778,1629
52,0,2021-05-15,649,105,362.0,179.0,3.0,12316,2624
28,49,2021-01-08,23,3,,,,389,21
84,19,2021-05-01,18,2,7.0,1.0,8.0,397,1
84,90,2021-06-18,96,0,34.0,62.0,0.0,5266,2780
6,79,2020-12-21,2,1,,,,47,9
27,79,2020-12-14,444,75,,,,1870,454
4,29,2021-03-23,3,1,2.0,0.0,0.0,87,1
32,59,2021-03-31,351,90,217.0,40.0,4.0,3592,224
44,19,2021-07-09,3,0,2.0,0.0,1.0,252,0
28,59,2020-12-27,67,14,,,,697,48
6,59,2021-07-12,0,0,0.0,0.0,0.0,208,16
11,29,2021-01-02,65,3,,,,1909,17
93,29,2021-06-22,16,3,6.0,6.0,1.0,1340,6
24,49,2020-12-24,14,1,,,,378,7
32,79,2021-06-02,485,100,224.0,158.0,3.0,7421,2095
28,29,2021-06-21,9,1,8.0,0.0,0.0,324,2
6,79,2021-01-13,1,0,,,,51,11
44,9,2021-07-09,0,0,0.0,0.0,0.0,268,1
76,49,2021-01-20,43,10,,,,809,14
2,49,2021-02-22,1,1,,,,52,1
24,89,2021-03-19,276,10,125.0,141.0,0.0,2127,888
32,29,2021-08-02,15,4,9.0,2.0,0.0,1091,6
32,29,2021-01-08,17,1,,,,568,2
94,0,2021-04-07,98,18,60.0,17.0,3.0,772,171
52,69,2021-02-14,100,30,,,,1236,159
28,39,2021-01-03,11,4,,,,243,4
11,39,2021-07-06,66,14,37.0,10.0,5.0,6954,110
53,29,2021-02-14,4,1,,,,127,0
3,59,2021-03-31,3,0,3.0,0.0,0.0,238,19
84,9,2021-01-01,4,1,,,,194,0
84,29,2021-04-06,30,4,24.0,0.0,2.0,1173,9
93,9,2021-06-16,1,0,0.0,1.0,0.0,303,0
84,79,2020-12-20,1056,173,,,,5612,1327
1,19,2021-03-24,1,0,1.0,0.0,0.0,9,0
4,29,2021-04-04,5,0,4.0,1.0,0.0,93,1
6,49,2021-01-21,4,2,,,,78,7
93,0,2021-04-05,3265,553,1568.0,1106.0,38.0,32374,6821
32,19,2021-01-07,5,0,,,,163,1
52,59,2021-06-20,28,9,13.0,6.0,0.0,1597,63
24,0,2021-07-13,221,33,51.0,131.0,6.0,12495,2782
52,69,2021-02-13,100,32,,,,1235,159
27,89,2021-03-17,366,15,205.0,144.0,2.0,3958,1687
53,0,2021-04-19,817,126,459.0,196.0,36.0,6394,1431
52,79,2021-06-19,60,10,18.0,30.0,2.0,2544,515
6,9,2020-12-28,0,0,,,,20,0
53,49,2021-02-23,29,6,,,,296,5
24,29,2021-07-11,3,0,0.0,1.0,2.0,306,1
52,69,2021-02-02,128,37,,,,1166,145
11,29,2021-01-20,59,8,,,,2033,19
44,90,2021-06-15,94,0,54.0,40.0,0.0,3411,2094
32,0,2021-06-11,1696,305,761.0,618.0,12.0,37364,9169
53,49,2021-07-04,13,2,5.0,3.0,3.0,638,9
32,89,2020-12-12,784,24,,,,3464,1578
52,90,2021-04-28,136,1,80.0,55.0,0.0,1426,678
93,19,2021-06-03,3,0,3.0,0.0,0.0,395,0
76,69,2021-01-20,231,66,,,,1917,216
84,59,2021-05-26,224,69,102.0,50.0,3.0,6065,270
28,59,2021-06-15,81,18,31.0,31.0,1.0,1732,111
4,90,2021-05-21,6,0,3.0,3.0,0.0,21,12
28,9,2021-03-10,1,0,,,,41,0
3,0,2021-03-26,18,7,11.0,0.0,0.0,2255,85
75,59,2021-06-16,66,22,30.0,13.0,1.0,2127,99
2,9,2021-06-17,0,0,0.0,0.0,0.0,1,0
28,49,2021-01-06,20,0,,,,387,21
93,9,2020-12-26,3,1,,,,164,0
6,39,2021-06-17,0,0,0.0,0.0,0.0,190,1
11,49,2021-01-24,177,41,,,,5516,223
11,29,2021-02-03,66,10,,,,2119,21
28,69,2021-07-29,82,14,30.0,38.0,0.0,2735,416
27,0,2021-07-31,219,15,107.0,88.0,9.0,20082,4856
53,49,2020-12-22,12,3,,,,228,3
76,0,2021-05-23,1073,212,452.0,398.0,11.0,20599,4444
76,29,2021-08-02,30,3,24.0,1.0,2.0,692,5
53,59,2021-07-14,22,2,11.0,5.0,4.0,1078,44
32,89,2021-01-04,806,25,,,,3999,1815
32,89,2021-05-21,646,15,363.0,267.0,1.0,7732,3466
27,89,2021-05-22,227,5,130.0,91.0,1.0,4708,1976
75,69,2021-02-19,187,61,,,,1737,193
93,29,2021-06-18,16,3,6.0,6.0,1.0,1339,6
84,0,2021-03-08,3156,442,,,,38091,9307
27,90,2021-07-06,57,0,23.0,34.0,0.0,2242,1140
84,90,2021-07-28,50,0,24.0,26.0,0.0,5350,2790
28,49,2021-07-20,24,6,9.0,8.0,1.0,944,34
6,39,2021-03-11,9,1,,,,162,1
2,49,2021-01-01,1,0,,,,49,1
28,39,2021-02-01,17,5,,,,274,4
75,89,2021-04-22,343,16,206.0,121.0,0.0,3467,1435
76,49,2021-05-24,46,10,28.0,8.0,0.0,1521,29
4,79,2020-12-06,10,3,,,,98,16
53,89,2021-06-21,98,1,41.0,47.0,9.0,1834,693
75,0,2021-07-04,423,42,203.0,178.0,0.0,17183,3862
32,29,2021-04-09,35,6,26.0,1.0,2.0,824,3
3,29,2021-04-23,0,0,0.0,0.0,0.0,470,3
94,79,2021-05-21,11,2,0.0,7.0,2.0,205,49
6,69,2020-12-02,3,1,,,,84,10
53,89,2021-01-10,185,2,,,,875,327
3,29,2020-12-03,1,0,,,,406,3
94,89,2021-07-28,6,0,3.0,3.0,0.0,193,80
32,59,2021-05-25,260,86,129.0,41.0,4.0,4881,286
6,49,2021-02-10,17,7,,,,90,9
3,39,2021-03-22,1,0,1.0,0.0,0.0,461,1
2,79,2021-01-11,7,2,,,,66,12
53,29,2021-04-26,9,0,6.0,1.0,2.0,198,0
53,90,2021-03-16,96,0,58.0,37.0,1.0,591,340
28,0,2020-12-07,1154,93,,,,4856,1250
75,59,2021-04-19,147,44,88.0,14.0,1.0,1693,84
3,0,2021-04-03,20,6,14.0,0.0,0.0,2266,89
94,69,2021-06-10,6,0,3.0,2.0,1.0,174,22
52,69,2021-04-19,160,48,90.0,21.0,1.0,1668,206
3,9,2021-03-12,0,0,,,,122,0
93,39,2021-02-20,46,9,,,,1379,7
3,89,2020-12-31,3,1,,,,54,11
76,9,2021-01-26,3,1,,,,105,0
27,29,2020-12-22,12,3,,,,236,2
1,90,2021-01-20,8,0,,,,20,7
24,90,2020-12-12,166,1,,,,510,329
1,19,2021-06-05,0,0,0.0,0.0,0.0,14,0
1,59,2021-05-07,26,11,12.0,2.0,1.0,230,16
3,59,2021-07-08,9,4,4.0,1.0,0.0,375,27
3,90,2021-06-26,1,0,1.0,0.0,0.0,17,8
28,39,2021-02-15,19,7,,,,284,4
27,90,2020-12-25,332,0,,,,1026,620
4,69,2021-05-05,33,10,19.0,4.0,0.0,317,39
94,0,2021-01-28,57,6,,,,546,124
2,59,2021-07-12,7,4,1.0,2.0,0.0,170,9
53,90,2021-05-06,90,0,46.0,42.0,2.0,715,408
84,69,2021-01-19,557,135,,,,4807,607
44,29,2021-05-07,22,3,15.0,1.0,3.0,877,3
53,59,2021-04-08,83,20,56.0,4.0,3.0,725,27
2,59,2021-02-24,3,0,,,,85,3
75,59,2021-06-20,61,16,32.0,12.0,1.0,2134,100
24,19,2021-05-16,1,1,0.0,0.0,0.0,74,0
6,90,2020-12-13,0,0,,,,2,1
75,9,2021-07-17,0,0,0.0,0.0,0.0,119,0
75,19,2021-05-16,2,1,0.0,0.0,1.0,129,0
27,29,2021-03-12,13,0,,,,367,3
28,29,2021-03-10,10,5,,,,181,0
24,89,2021-04-29,288,9,155.0,124.0,0.0,2501,1008
44,59,2021-05-29,139,33,70.0,33.0,3.0,4737,321
4,90,2021-04-26,4,0,3.0,1.0,0.0,16,10
1,49,2021-02-12,2,0,,,,103,7
3,29,2021-01-15,5,0,,,,430,3
27,39,2020-12-25,18,3,,,,365,8
1,19,2021-07-15,0,0,0.0,0.0,0.0,14,0
52,89,2021-03-22,274,8,161.0,105.0,0.0,2554,937
44,69,2020-03-21,327,111,,,,49,18
27,89,2021-08-03,55,1,22.0,30.0,2.0,4981,2015
75,49,2021-05-29,38,11,25.0,2.0,0.0,1151,27
11,9,2021-06-16,9,1,8.0,0.0,0.0,960,3
53,29,2021-03-19,8,1,6.0,0.0,1.0,149,0
11,19,2021-02-26,21,2,,,,620,4
1,79,2021-03-21,10,1,7.0,2.0,0.0,161,65
84,39,2021-03-30,71,13,50.0,5.0,3.0,1763,15
84,59,2021-05-25,234,73,106.0,52.0,3.0,6048,270
24,9,2021-03-01,0,0,,,,52,0
27,49,2021-05-21,25,5,12.0,4.0,4.0,1184,23
75,0,2021-03-21,1162,201,653.0,308.0,0.0,12412,3060
1,49,2021-03-25,3,1,2.0,0.0,0.0,110,7
6,49,2021-01-24,4,2,,,,78,7
2,0,2021-01-21,13,2,,,,379,44
2,49,2021-04-24,10,4,6.0,0.0,0.0,89,6
28,89,2021-05-16,300,4,151.0,144.0,1.0,3113,1224
76,9,2021-04-16,3,0,3.0,0.0,0.0,149,0
3,9,2021-04-11,0,0,0.0,0.0,0.0,122,0
94,59,2021-04-02,7,1,4.0,0.0,2.0,111,7
3,29,2021-01-06,6,0,,,,424,3
84,9,2021-01-27,2,1,,,,205,0
52,49,2021-03-23,27,4,22.0,1.0,0.0,613,13
11,39,2021-05-03,281,67,185.0,17.0,12.0,6064,100
4,19,2021-01-16,3,1,,,,24,1
32,79,2021-04-19,849,209,447.0,190.0,3.0,6456,1819
44,9,2021-06-01,0,0,0.0,0.0,0.0,258,1
27,89,2021-07-20,99,1,37.0,59.0,2.0,4923,2010
93,59,2021-03-06,295,89,,,,3580,139
93,49,2021-07-13,31,4,6.0,17.0,4.0,3166,56
4,39,2021-04-21,8,3,4.0,1.0,0.0,144,3
32,0,2021-01-20,2317,245,,,,19658,4978
11,59,2021-03-27,930,290,520.0,103.0,17.0,11253,895
76,49,2021-04-13,93,25,59.0,9.0,0.0,1225,23
24,89,2021-07-08,43,0,12.0,31.0,0.0,2851,1112
84,69,2021-05-08,607,190,291.0,115.0,11.0,7773,949
27,29,2021-01-14,21,2,,,,269,2
24,39,2021-02-17,11,1,,,,290,3
28,59,2020-12-14,66,16,,,,669,43
28,59,2021-03-31,130,23,81.0,22.0,4.0,1146,79
11,0,2020-03-22,2638,666,,,,545,148
84,59,2021-01-12,260,49,,,,3356,151
76,69,2021-01-01,179,60,,,,1782,196
1,39,2021-05-14,6,1,5.0,0.0,0.0,85,3
27,39,2021-05-06,21,2,11.0,1.0,7.0,650,10
11,29,2021-06-18,44,6,20.0,8.0,10.0,3716,35
6,39,2021-02-13,19,2,,,,97,0
84,0,2021-06-15,1319,171,597.0,528.0,23.0,50812,11600
11,9,2021-05-24,14,3,11.0,0.0,0.0,915,3
4,19,2021-02-18,3,0,,,,29,1
3,90,2021-02-05,0,0,,,,10,1
28,0,2021-07-11,462,42,200.0,219.0,1.0,14516,3383
75,89,2021-06-29,131,2,64.0,65.0,0.0,3960,1589
1,39,2021-05-15,7,0,7.0,0.0,0.0,86,3
76,29,2020-12-06,10,1,,,,302,1
32,29,2021-04-07,36,7,26.0,1.0,2.0,812,3
1,59,2021-04-13,22,10,10.0,1.0,1.0,174,12
94,49,2021-06-30,1,0,0.0,0.0,1.0,65,2
1,49,2021-07-30,6,0,5.0,1.0,0.0,215,9
94,69,2021-03-06,9,3,,,,120,17
76,0,2021-02-20,1615,273,,,,13645,3104
6,39,2020-12-22,0,0,,,,73,0
76,0,2020-12-28,1206,179,,,,10055,2091
1,19,2021-03-15,0,0,0.0,0.0,0.0,9,0
75,29,2021-03-13,9,2,,,,315,2
3,49,2021-04-24,8,3,4.0,1.0,0.0,327,4
75,39,2021-05-23,12,3,8.0,1.0,0.0,672,3
52,9,2021-06-14,5,1,4.0,0.0,0.0,67,0
84,89,2021-02-24,997,27,,,,9050,3758
93,89,2020-03-24,78,11,,,,16,15
53,79,2021-01-29,135,15,,,,822,165
76,69,2021-07-08,83,18,29.0,34.0,2.0,3827,436
75,79,2021-05-29,179,36,78.0,64.0,1.0,3231,752
32,0,2021-02-18,2631,351,,,,22748,5882
76,69,2020-12-12,179,76,,,,1639,171
2,89,2021-03-06,2,1,,,,49,12
27,90,2020-12-04,280,3,,,,800,492
3,39,2021-04-04,0,0,0.0,0.0,0.0,466,1
84,9,2020-12-07,6,2,,,,173,0
53,19,2021-06-12,2,0,2.0,0.0,0.0,85,0
24,79,2021-02-05,283,54,,,,1341,314
6,9,2020-12-09,0,0,,,,20,0
44,19,2021-03-07,4,0,,,,185,0
4,90,2021-01-03,0,0,,,,7,0
24,59,2020-03-18,3,0,,,,0,0
94,59,2021-04-22,9,3,4.0,2.0,0.0,119,7
32,19,2021-06-08,6,0,4.0,2.0,0.0,318,2
32,39,2021-05-01,67,21,38.0,5.0,3.0,1532,25
2,9,2021-01-06,0,0,,,,1,0
76,0,2020-12-13,1406,206,,,,9244,1890
4,49,2021-06-03,20,8,6.0,6.0,0.0,250,6
4,49,2021-03-24,24,5,13.0,6.0,0.0,144,5
3,59,2021-01-12,5,2,,,,204,13
94,59,2021-06-16,5,1,3.0,0.0,1.0,137,8
52,29,2021-02-12,8,1,,,,229,0
24,90,2021-03-28,128,0,57.0,71.0,0.0,1050,609
53,0,2021-07-01,320,24,135.0,124.0,37.0,8004,1652
93,39,2021-03-14,51,8,35.0,5.0,3.0,1525,9
2,19,2021-07-28,1,0,1.0,0.0,0.0,5,0
1,29,2021-03-30,0,0,0.0,0.0,0.0,24,0
93,90,2021-05-13,220,1,93.0,126.0,0.0,3367,1826
3,19,2021-04-28,1,0,1.0,0.0,0.0,182,0
1,59,2021-02-12,6,2,,,,147,10
6,59,2021-01-24,4,0,,,,94,6
84,0,2021-07-16,564,61,215.0,263.0,25.0,51719,11676
6,39,2021-01-18,2,1,,,,78,0
2,19,2021-02-26,0,0,,,,4,0
2,90,2021-01-31,0,0,,,,7,5
44,9,2021-05-26,1,0,1.0,0.0,0.0,255,1
24,0,2021-07-23,213,26,60.0,119.0,8.0,12541,2785
75,69,2021-07-28,63,16,26.0,21.0,0.0,2919,312
28,89,2021-02-09,423,9,,,,1978,798
1,59,2021-07-01,17,1,7.0,9.0,0.0,298,23
94,29,2021-05-24,0,0,0.0,0.0,0.0,22,0
93,49,2021-06-29,41,9,8.0,20.0,4.0,3142,56
93,39,2020-12-25,18,2,,,,1070,6
75,59,2021-07-19,39,12,16.0,11.0,0.0,2180,101
52,19,2021-01-29,1,1,,,,51,0
93,49,2020-12-10,48,17,,,,1334,19
32,69,2021-01-11,334,79,,,,3251,539
44,90,2021-04-17,256,2,176.0,77.0,1.0,3103,1947
4,39,2021-03-05,8,4,,,,101,1
84,49,2021-02-28,98,22,,,,2265,47
75,69,2020-12-17,164,46,,,,1199,121
52,59,2021-01-29,48,12,,,,776,38
1,59,2021-03-28,8,3,3.0,1.0,1.0,163,12
2,49,2021-04-03,12,5,7.0,0.0,0.0,61,3
53,90,2021-04-17,92,0,61.0,31.0,0.0,679,379
27,59,2021-05-28,61,18,28.0,12.0,3.0,1979,127
94,49,2021-07-07,1,0,0.0,0.0,1.0,65,2
94,9,2020-03-22,0,0,,,,2,0
4,69,2021-05-16,30,6,20.0,4.0,0.0,343,42
28,89,2021-03-30,412,11,243.0,158.0,0.0,2577,1026
24,79,2021-06-06,119,24,37.0,56.0,2.0,2445,557
3,39,2021-03-28,2,0,2.0,0.0,0.0,463,1
94,19,2021-01-19,0,0,,,,4,0
53,79,2021-06-12,102,18,42.0,30.0,12.0,1504,311
28,49,2021-03-19,44,8,26.0,8.0,2.0,548,24
3,90,2021-07-01,2,0,2.0,0.0,0.0,17,8
24,29,2021-06-29,3,0,0.0,1.0,2.0,305,1
4,59,2021-03-26,34,15,15.0,4.0,0.0,206,19
84,90,2020-12-06,886,2,,,,2368,1375
6,59,2020-03-21,0,0,,,,0,0
84,59,2021-07-25,72,14,32.0,22.0,4.0,6383,295
75,39,2021-04-03,24,7,15.0,2.0,0.0,523,2
3,69,2021-02-24,9,4,,,,248,21
53,79,2021-06-23,89,13,35.0,29.0,12.0,1516,316
3,29,2021-05-01,2,1,1.0,0.0,0.0,473,3
32,0,2021-02-14,2553,309,,,,22172,5727
11,29,2020-12-12,51,7,,,,1819,16
76,49,2021-08-04,72,22,39.0,11.0,0.0,1726,31
84,69,2021-08-04,154,36,54.0,55.0,9.0,8550,1024
4,49,2021-03-31,26,9,10.0,7.0,0.0,153,5
44,0,2021-05-16,1842,342,981.0,502.0,17.0,36226,9943
53,29,2021-04-27,8,0,5.0,1.0,2.0,201,0
4,49,2021-07-06,20,7,9.0,4.0,0.0,288,8
75,49,2021-07-25,18,3,13.0,2.0,0.0,1249,28
32,90,2020-12-31,364,2,,,,1569,963
1,39,2021-03-22,1,0,1.0,0.0,0.0,65,2
75,29,2021-05-15,13,2,8.0,2.0,1.0,446,2
28,59,2021-05-04,148,34,79.0,35.0,0.0,1499,96
3,29,2021-05-27,9,0,9.0,0.0,0.0,490,3
2,39,2020-03-20,3,0,,,,0,0
2,59,2021-02-04,2,0,,,,83,3
32,59,2021-07-25,103,19,39.0,40.0,5.0,5243,317
84,0,2021-01-16,3857,408,,,,30537,7373
53,19,2021-07-24,1,0,1.0,0.0,0.0,89,0
75,59,2020-12-26,70,14,,,,944,40
24,39,2021-06-21,6,2,4.0,0.0,0.0,523,3
53,0,2020-03-27,215,49,,,,131,34
27,79,2021-02-26,363,67,,,,3139,766
11,0,2020-12-29,4870,567,,,,54211,12072
4,29,2021-05-16,4,3,1.0,0.0,0.0,111,1
53,49,2021-04-24,51,9,32.0,6.0,4.0,483,9
44,69,2021-04-17,548,169,311.0,58.0,10.0,5962,955
4,79,2020-03-23,1,1,,,,0,0
6,9,2021-01-19,0,0,,,,20,0
53,89,2020-12-26,199,1,,,,788,302
27,0,2021-07-16,293,22,119.0,143.0,9.0,19888,4844
24,9,2021-06-26,0,0,0.0,0.0,0.0,88,0
4,90,2021-03-25,1,0,1.0,0.0,0.0,10,4
11,90,2021-06-21,235,4,69.0,162.0,0.0,7759,4022
76,9,2021-05-02,1,0,1.0,0.0,0.0,153,0
76,59,2020-12-05,81,27,,,,1186,40
32,89,2021-06-03,533,16,274.0,243.0,0.0,7905,3524
75,0,2021-06-01,768,127,379.0,257.0,5.0,16547,3790
84,0,2021-05-25,2177,371,1092.0,679.0,35.0,49480,11433
2,59,2021-07-08,6,3,1.0,2.0,0.0,168,9
28,90,2021-03-05,194,0,,,,991,523
76,59,2021-07-02,40,9,10.0,19.0,2.0,2855,99
2,79,2021-04-23,38,12,25.0,1.0,0.0,110,16
52,29,2021-05-05,11,1,10.0,0.0,0.0,348,0
93,90,2021-05-05,259,1,111.0,147.0,0.0,3297,1809
6,19,2021-06-18,0,0,0.0,0.0,0.0,55,1
93,9,2021-06-07,1,0,0.0,1.0,0.0,303,0
93,0,2020-12-13,2336,307,,,,17126,3095
4,9,2021-07-14,0,0,0.0,0.0,0.0,30,0
32,90,2021-04-12,378,3,236.0,139.0,0.0,2746,1670
28,79,2021-03-05,275,46,,,,1916,493
52,39,2021-04-30,25,3,21.0,0.0,1.0,510,3
76,29,2021-02-16,11,1,,,,379,2
6,0,2021-01-23,18,6,,,,569,45
4,0,2021-07-06,162,38,90.0,34.0,0.0,2076,252
32,69,2021-07-06,201,44,84.0,70.0,3.0,6912,1136
2,0,2021-04-21,127,30,96.0,1.0,0.0,595,69
2,49,2021-01-09,0,0,,,,50,1
6,79,2021-02-07,9,0,,,,64,11
6,69,2021-04-03,10,6,4.0,0.0,0.0,182,29
27,19,2021-05-08,7,2,4.0,0.0,1.0,175,0
32,39,2021-03-16,50,20,25.0,4.0,1.0,1170,17
32,89,2020-03-24,155,15,,,,22,42
28,9,2021-04-22,3,0,2.0,1.0,0.0,56,0
76,69,2021-01-26,242,62,,,,1990,226
32,9,2021-04-12,4,0,4.0,0.0,0.0,261,0
